Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
POCO,POCO C75 5G,Enchanted Green,Flipkart,10999,7699,3300,30,4,64,6.88,5160,5,50,4s Gen 2 5G Processor,4.3,83280,4112
POCO,POCO M6 Plus,Graphite Black,Flipkart,15999,10080,5919,36,6,128,6.79,5030,13,50,Snapdragon 4 Gen2 AE Processor,4.2,59597,3573
CMF,CMF by Nothing,Black,Flipkart,22999,18999,4000,17,8,128,6.77,5000,16,108,Dimensity 7300 Pro 5G Processor,4.4,15881,1311
Motorola,Motorola G85 5G,Viva Magenta,Flipkart,20999,15999,5000,23,8,128,6.67,5000,32,108,6s Gen 3 Processor,4.4,217987,11163
OPPO,OPPO K13 5G,Prism Black,Flipkart,22999,17999,5000,21,8,128,6.67,7000,16,50,Snapdragon 6 Gen 4 Processor,4.5,24615,1677
MOTOROLA,MOTOROLA g35 5G,Midnight Black,Flipkart,12499,9999,2500,20,4,128,6.72,5000,16,108,T760 Processor,4.2,64998,4764
POCO,POCO F7 5G,Cyber Silver Edition,Flipkart,37999,33999,4000,10,12,512,6.83,7550,20,50,8s Gen 4 Processor,4.4,5646,699
Motorola,Motorola g45 5G,Viva Magenta,Flipkart,14999,11999,3000,20,8,128,6.5,5000,16,50,Snapdragon 6s Gen 3 Processor,4.3,195416,10117
vivo,vivo T4 Lite,Titanium Gold,Flipkart,13999,9999,4000,28,4,128,6.74,6000,5,108,Dimensity 6300 5G Processor,4.4,7237,216
Samsung,Samsung Guru Music,Black,Flipkart,2349,949,1400,59,6,64,1.8,800,16,50,NA Processor,3.1,16817,1264
Samsung,Samsung Guru 1200,Black,Flipkart,1699,786,913,53,8,128,1.52,800,6,50,4s Gen 2 5G Processor,3.1,5194,373
POCO,POCO C75 5G,Aqua Bliss,Flipkart,11499,8499,3000,26,4,128,6.88,5160,5,32,4s Gen 2 5G Processor,4.3,83280,4112
Samsung,Samsung Galaxy F16,Glam Green,Flipkart,17499,11499,6000,34,6,128,6.657,5000,13,50,Dimensity 6300 Processor,4.2,4683,309
REDMI,REDMI A5,Just Black,Flipkart,8999,6499,2500,27,3,64,6.88,5200,8,108,T7250 Processor,4.3,2309,116
MOTOROLA,MOTOROLA Edge 60,PANTONE Amazonite,Flipkart,25999,22999,3000,11,8,256,6.67,5500,32,50,Dimensity 7400 Processor,4.5,42821,2423
Motorola,Motorola g45 5G,Viva Magenta,Flipkart,12999,10999,2000,15,4,128,6.5,5000,16,50,Snapdragon 6s Gen 3 Processor,4.3,48119,2944
Apple,Apple iPhone 16,White,Flipkart,79900,69999,9901,12,12,128,6.1,4500,12,108,A18 Chip 6 Core Processor Processor,4.6,19106,793
POCO,POCO M7 5G,Mint Green,Flipkart,12999,9299,3700,28,6,128,6.88,5160,8,50,4 Gen 2 5G Processor,4.1,25331,1321
Apple,Apple iPhone 16,Black,Flipkart,79900,69999,9901,12,12,128,6.1,4600,12,50,A18 Chip 6 Core Processor Processor,4.6,19106,793
Infinix,Infinix Note 50s,Marine Drift,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,50,Dimensity 7300 Ultimate Processor,4.4,1276,86
OPPO,OPPO K13x 5G,Midnight Violet,Flipkart,15999,11999,4000,25,4,128,6.67,6000,8,108,Dimensity 6300 Processor,4.5,1949,310
REDMI,REDMI A5,Just Black,Flipkart,8999,6499,2500,27,3,64,6.88,5200,8,50,T7250 Processor,4.3,2309,116
vivo,vivo T4x 5G,Marine Blue,Flipkart,17999,13999,4000,22,6,128,6.72,6500,8,32,Dimensity 7300 5G Processor,4.4,91091,4758
REDMI,REDMI 13 5G,Orchid Pink,Flipkart,17999,11967,6032,33,6,128,6.79,5030,12,50,Qualcomm SM4450 Snapdragon 4 Gen 2 AE 4 nm Processor,4.2,42234,2172
MOTOROLA,MOTOROLA Edge 60,PANTONE Zephyr,Flipkart,25999,22999,3000,11,8,256,6.67,5500,32,20,Dimensity 7400 Processor,4.5,42821,2423
POCO,POCO C71,Power Black,Flipkart,9999,6999,3000,30,6,128,6.88,5200,8,108,Unisoc T7250 Processor,4.1,9351,513
Motorola,Motorola G85 5G,Olive Green,Flipkart,20999,15999,5000,23,8,128,6.67,5000,32,50,6s Gen 3 Processor,4.4,217987,11163
MOTOROLA,MOTOROLA Edge 60,PANTONE Slipstream,Flipkart,25999,22999,3000,11,8,256,6.67,5500,32,50,Dimensity 7400 Processor,4.5,42821,2423
Samsung,Samsung Galaxy F16,Vibing Blue,Flipkart,18999,13499,5500,28,8,128,6.657,5000,13,108,Dimensity 6300 Processor,4.2,2075,150
Motorola,Motorola g45 5G,Brilliant Blue,Flipkart,12999,10999,2000,15,4,128,6.5,5000,16,108,Snapdragon 6s Gen 3 Processor,4.3,48119,2944
vivo,vivo T4 Lite,Titanium Gold,Flipkart,13999,9999,4000,28,4,128,6.74,6000,5,50,Dimensity 6300 5G Processor,4.4,7237,216
Motorola,Motorola g45 5G,Brilliant Green,Flipkart,12999,10999,2000,15,4,128,6.5,5000,16,20,Snapdragon 6s Gen 3 Processor,4.3,48119,2944
POCO,POCO M7 Pro,Lavender Frost,Flipkart,20999,14999,6000,28,8,256,6.67,5110,20,50,Dimensity 7025 Ultra Processor,4.2,6921,707
REDMI,REDMI 13 5G,Orchid Pink,Flipkart,17999,11967,6032,33,6,128,6.79,5030,16,50,Qualcomm SM4450 Snapdragon 4 Gen 2 AE 4 nm Processor,4.2,42234,2172
Samsung,Samsung Guru Music,Blue,Flipkart,1999,948,1051,52,8,128,1.8,800,8,108,Qualcomm SM4450 Snapdragon 4 Gen 2 AE 4 nm Processor,3.1,16817,1264
Motorola,Motorola Edge 50,Marshmallow Blue,Flipkart,25999,18999,7000,26,8,128,6.7,5000,32,50,7s Gen 2 Processor,4.4,129175,8373
POCO,POCO M7 Pro,Lunar Dust,Flipkart,18999,12999,6000,31,6,128,6.67,5110,20,12,Dimensity 7025 Ultra Processor,4.3,17015,1472
Tecno,Tecno Spark Go,Turquoise Green,Flipkart,8499,6699,1800,21,3,64,6.67,5000,12,13,T7250 Processor,4.3,1200,1430
POCO,POCO C75 5G,Enchanted Green,Flipkart,11499,8499,3000,26,4,128,6.88,5160,5,13,4s Gen 2 5G Processor,4.3,83280,4112
MOTOROLA,MOTOROLA g35 5G,Leaf Green,Flipkart,12499,9999,2500,20,4,128,6.72,5000,16,12,T760 Processor,4.2,64998,4764
vivo,vivo T4 Lite,Titanium Gold,Flipkart,13999,9999,4000,28,4,128,6.74,6000,5,50,Dimensity 6300 5G Processor,4.4,7237,216
Motorola,Motorola Edge 50,Forest Blue,Flipkart,25999,18999,7000,26,8,128,6.7,5000,32,108,7s Gen 2 Processor,4.4,129175,8373
Samsung,Samsung Galaxy F16,Bling Black,Flipkart,17499,11499,6000,34,6,128,6.657,5000,13,108,Dimensity 6300 Processor,4.2,4683,309
Samsung,Samsung SM 310E,Black,Flipkart,1999,990,1009,50,4,64,1.9,800,13,50,Dimensity 6300 Processor,3.2,317,27
OPPO,OPPO K13 5G,Prism Black,Flipkart,22999,17999,5000,21,8,128,6.67,7000,16,108,Snapdragon 6 Gen 4 Processor,4.5,24615,1677
Motorola,Motorola Edge 50,Marshmallow Blue,Flipkart,27999,20999,7000,25,12,256,6.7,5000,32,108,7s Gen 2 Processor,4.4,157688,10859
Motorola,Motorola Edge 50,Forest Blue,Flipkart,27999,20999,7000,25,12,256,6.7,5000,32,108,7s Gen 2 Processor,4.4,157688,10859
