Title,MRP,Selling_Price,Specifications,Ratings,Discount,Review_Count
"Samsung Galaxy F16 5G (Glam Green, 128 GB)  (4 GB RAM)","₹15,999","₹10,749","4 GB RAM | 128 GB ROM
16.91 cm (6.657 inch) Full HD+ Display
50MP + 5MP + 2MP | 13MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor",4.2,32% off,"2,665 Ratings & 168 Reviews"
"realme 15 5G (Flowing Silver, 128 GB)  (8 GB RAM)","₹29,999","₹25,999","8 GB RAM | 128 GB ROM
17.27 cm (6.8 inch) Display
50MP + 8MP | 50MP Front Camera
7000 mAh Battery
Mediatek Dimensity 7300+ 5G Processor",4.3,13% off,15 Ratings & 1 Reviews
"Motorola G85 5G (Cobalt Blue, 128 GB)  (8 GB RAM)","₹20,999","₹15,999","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5000 mAh Battery
6s Gen 3 Processor",4.4,23% off,"2,15,542 Ratings & 11,091 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)  (8 GB RAM)","₹25,999","₹22,999","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Display
50MP + 13MP | 32MP Front Camera
5500 mAh Battery
Dimensity 7400 Processor
68W Charger",4.5,11% off,"41,179 Ratings & 2,359 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)  (8 GB RAM)","₹25,999","₹22,999","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Display
50MP + 13MP | 32MP Front Camera
5500 mAh Battery
Dimensity 7400 Processor
68W Charger",4.5,11% off,"41,179 Ratings & 2,359 Reviews"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)  (4 GB RAM)","₹13,999","₹8,699","4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB
17.02 cm (6.7 inch) HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor",4.1,37% off,"16,864 Ratings & 1,171 Reviews"
"Motorola G85 5G (Viva Magenta, 128 GB)  (8 GB RAM)","₹20,999","₹15,999","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5000 mAh Battery
6s Gen 3 Processor",4.4,23% off,"2,15,542 Ratings & 11,091 Reviews"
"POCO C75 5G (Silver Stardust, 64 GB)  (4 GB RAM)","₹10,999","₹7,699","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5160 mAh Battery
4s Gen 2 5G Processor",4.3,30% off,"83,280 Ratings & 4,112 Reviews"
"Motorola g45 5G (Brilliant Green, 128 GB)  (8 GB RAM)","₹14,999","₹11,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) HD+ Display
50MP + 2MP | 16MP Front Camera
5000 mAh Battery
Snapdragon 6s Gen 3 Processor",4.3,20% off,"1,92,888 Ratings & 10,055 Reviews"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)  (8 GB RAM)","₹25,999","₹22,999","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.94 cm (6.67 inch) Display
50MP + 13MP | 32MP Front Camera
5500 mAh Battery
Dimensity 7400 Processor
68W Charger",4.5,11% off,"41,179 Ratings & 2,359 Reviews"
"Tecno Pova 7 5G (Magic Silver, 128 GB)  (8 GB RAM)","₹18,999","₹14,999","8 GB RAM | 128 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
50MP + AI | 13MP Front Camera
6000 mAh Battery
Dimensity 7300 Ultimate Processor",4.5,21% off,"1,216 Ratings & 112 Reviews"
"Samsung Galaxy F36 5G (Violet, 128 GB)  (6 GB RAM)","₹22,999","₹17,499","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.02 cm (6.7 inch) Full HD+ Display
50MP + 8MP + 2MP | 13MP Front Camera
5000 mAh Battery
Samsung Exynos 1380 Processor",4.6,23% off,"(7,533)"
"Motorola G85 5G (Urban Grey, 128 GB)  (8 GB RAM)","₹20,999","₹15,999","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD+ Display
50MP + 8MP | 32MP Front Camera
5000 mAh Battery
6s Gen 3 Processor",4.4,23% off,"2,15,542 Ratings & 11,091 Reviews"
"POCO C71 (Desert Gold, 128 GB)  (6 GB RAM)","₹9,999","₹6,999","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.48 cm (6.88 inch) HD+ Display
32MP Rear Camera | 8MP Front Camera
5200 mAh Battery
Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor",4.1,30% off,"8,911 Ratings & 493 Reviews"
"POCO C75 5G (Aqua Bliss, 64 GB)  (4 GB RAM)","₹10,999","₹7,699","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5160 mAh Battery
4s Gen 2 5G Processor",4.3,30% off,"83,280 Ratings & 4,112 Reviews"
