Product Name,MRP,Selling Price,Discount %,Brand,Rating,Review Count,Platform
"Samsung Galaxy M36 5G (Velvet Black, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","₹22,999","17,499",(24% off),Samsung,3.8 out of 5 stars,Let us know,Amazon
"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger","₹13,999","8,749",(38% off),Samsung,3.8 out of 5 stars,Let us know,Amazon
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","₹9,999","6,249",(38% off),Samsung,4.0 out of 5 stars,"5,241",Amazon
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹11,999","8,798",(27% off),Redmi,3.9 out of 5 stars,"5,052",Amazon
"POCO M7 5G, Ocean Blue (6GB, 128GB)","₹12,999","9,299",(28% off),POCO,4.0 out of 5 stars,116,Amazon
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display","₹20,999","16,999",(19% off),OnePlus,4.1 out of 5 stars,"8,089",Amazon
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger","₹15,499","10,049",(35% off),Samsung,3.8 out of 5 stars,"1,881",Amazon
POCO M6 Plus 5G Misty Lavender 8GB RAM 128GB ROM,"₹14,499","10,499",(28% off),POCO,3.9 out of 5 stars,625,Amazon
"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger","₹25,999","16,499",(37% off),Samsung,4.2 out of 5 stars,"12,423",Amazon
"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","₹14,999","10,998",(27% off),iQOO,4.0 out of 5 stars,798,Amazon
"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","₹19,999","11,699",(42% off),Redmi,4.0 out of 5 stars,Let us know,Amazon
"Redmi 14C 5G (Stargaze Black, 6GB RAM, 128GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹14,999","11,498",(23% off),Redmi,4.0 out of 5 stars,Let us know,Amazon
"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability","₹14,999","11,498",(23% off),realme,4.2 out of 5 stars,315,Amazon
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Black, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","₹1,34,999","79,999",(41% off),Samsung,4.4 out of 5 stars,"2,135",Amazon
"Redmi A4 5G (Starry Black, 6GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹12,999","9,799",(25% off),Redmi,3.9 out of 5 stars,"5,052",Amazon
"HONOR 200 5G (8GB+256GB, Moonlight White) – 50MP+50MP+12MP Triple Camera with Dual OIS | 50MP Selfie | Quad-Curved AMOLED Display | AI-Powered MagicOS 9.0 | Without Charger","₹39,999","21,698",(46% off),HONOR,4.1 out of 5 stars,"1,802",Amazon
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)","₹20,999","16,999",(19% off),OnePlus,4.1 out of 5 stars,"8,089",Amazon
"POCO M7 5G, Satin Black (6GB, 128GB)","₹12,999","9,299",(28% off),POCO,4.1 out of 5 stars,117,Amazon
"POCO C75 5G, Enchanted Green (4GB, 64GB)","₹10,999","7,699",(30% off),POCO,4.2 out of 5 stars,233,Amazon
"Lava Bold N1 Pro (Titanium Gold, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | Charger in Box","₹8,399","6,898",(18% off),Lava,4.0 out of 5 stars,283,Amazon
"Redmi 14C 5G (Stardust Purple, 4GB RAM, 64GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88â€) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹12,999","9,498",(27% off),Redmi,3.6 out of 5 stars,Let us know,Amazon
"Lava Bold N1 Pro (Stealth Black, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery| Charger in Box","₹8,399","6,898",(18% off),Lava,4.0 out of 5 stars,Let us know,Amazon
"Samsung Galaxy M36 5G (Orange Haze, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","₹22,999","17,499",(24% off),Samsung,3.8 out of 5 stars,Let us know,Amazon
