Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
poco,c75 5g,enchanted green,flipkart,10999,7699,3300,30,4,64,6.88,5160,5,50,4s gen 2 5g processor,4.3,83280,4112
poco,m6 plus,graphite black,flipkart,15999,10080,5919,36,6,128,6.79,5030,13,50,snapdragon 4 gen2 ae processor,4.2,59597,3573
cmf,phone 1,black,flipkart,22999,18999,4000,17,8,128,6.77,5000,16,108,dimensity 7300 pro 5g processor,4.4,15881,1311
motorola,g85 5g,viva magenta,flipkart,20999,15999,5000,23,8,128,6.67,5000,32,108,6s gen 3 processor,4.4,217987,11163
oppo,k13 5g,prism black,flipkart,22999,17999,5000,21,8,128,6.67,7000,16,50,snapdragon 6 gen 4 processor,4.5,24615,1677
motorola,g35 5g,midnight black,flipkart,12499,9999,2500,20,4,128,6.72,5000,16,108,t760 processor,4.2,64998,4764
poco,f7 5g,cyber silver edition,flipkart,37999,33999,4000,10,12,512,6.83,7550,20,50,8s gen 4 processor,4.4,5646,699
motorola,g45 5g,viva magenta,flipkart,14999,11999,3000,20,8,128,6.5,5000,16,50,snapdragon 6s gen 3 processor,4.3,195416,10117
vivo,t4 lite,titanium gold,flipkart,13999,9999,4000,28,4,128,6.74,6000,5,108,dimensity 6300 5g processor,4.4,7237,216
samsung,guru music,black,flipkart,2349,949,1400,59,6,64,1.8,800,16,50,na processor,3.1,16817,1264
samsung,guru 1200,black,flipkart,1699,786,913,53,8,128,1.52,800,6,50,4s gen 2 5g processor,3.1,5194,373
poco,c75 5g,aqua bliss,flipkart,11499,8499,3000,26,4,128,6.88,5160,5,32,4s gen 2 5g processor,4.3,83280,4112
samsung,galaxy f16,glam green,flipkart,17499,11499,6000,34,6,128,6.657,5000,13,50,dimensity 6300 processor,4.2,4683,309
redmi,a5,just black,flipkart,8999,6499,2500,27,3,64,6.88,5200,8,108,t7250 processor,4.3,2309,116
motorola,edge 60,pantone amazonite,flipkart,25999,22999,3000,11,8,256,6.67,5500,32,50,dimensity 7400 processor,4.5,42821,2423
motorola,g45 5g,viva magenta,flipkart,12999,10999,2000,15,4,128,6.5,5000,16,50,snapdragon 6s gen 3 processor,4.3,48119,2944
apple,iphone 16,white,flipkart,79900,69999,9901,12,12,128,6.1,4500,12,108,a18 chip 6 core processor processor,4.6,19106,793
poco,m7 5g,mint green,flipkart,12999,9299,3700,28,6,128,6.88,5160,8,50,4 gen 2 5g processor,4.1,25331,1321
apple,iphone 16,black,flipkart,79900,69999,9901,12,12,128,6.1,4600,12,50,a18 chip 6 core processor processor,4.6,19106,793
infinix,note 50s,marine drift,flipkart,19999,14999,5000,25,6,128,6.78,5500,13,50,dimensity 7300 ultimate processor,4.4,1276,86
oppo,k13x 5g,midnight violet,flipkart,15999,11999,4000,25,4,128,6.67,6000,8,108,dimensity 6300 processor,4.5,1949,310
redmi,a5,just black,flipkart,8999,6499,2500,27,3,64,6.88,5200,8,50,t7250 processor,4.3,2309,116
vivo,t4x 5g,marine blue,flipkart,17999,13999,4000,22,6,128,6.72,6500,8,32,dimensity 7300 5g processor,4.4,91091,4758
redmi,13 5g,orchid pink,flipkart,17999,11967,6032,33,6,128,6.79,5030,12,50,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,4.2,42234,2172
motorola,edge 60,pantone zephyr,flipkart,25999,22999,3000,11,8,256,6.67,5500,32,20,dimensity 7400 processor,4.5,42821,2423
poco,c71,power black,flipkart,9999,6999,3000,30,6,128,6.88,5200,8,108,unisoc t7250 processor,4.1,9351,513
motorola,g85 5g,olive green,flipkart,20999,15999,5000,23,8,128,6.67,5000,32,50,6s gen 3 processor,4.4,217987,11163
motorola,edge 60,pantone slipstream,flipkart,25999,22999,3000,11,8,256,6.67,5500,32,50,dimensity 7400 processor,4.5,42821,2423
samsung,galaxy f16,vibing blue,flipkart,18999,13499,5500,28,8,128,6.657,5000,13,108,dimensity 6300 processor,4.2,2075,150
motorola,g45 5g,brilliant blue,flipkart,12999,10999,2000,15,4,128,6.5,5000,16,108,snapdragon 6s gen 3 processor,4.3,48119,2944
vivo,t4 lite,titanium gold,flipkart,13999,9999,4000,28,4,128,6.74,6000,5,50,dimensity 6300 5g processor,4.4,7237,216
motorola,g45 5g,brilliant green,flipkart,12999,10999,2000,15,4,128,6.5,5000,16,20,snapdragon 6s gen 3 processor,4.3,48119,2944
poco,m7 pro,lavender frost,flipkart,20999,14999,6000,28,8,256,6.67,5110,20,50,dimensity 7025 ultra processor,4.2,6921,707
redmi,13 5g,orchid pink,flipkart,17999,11967,6032,33,6,128,6.79,5030,16,50,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,4.2,42234,2172
samsung,guru music,blue,flipkart,1999,948,1051,52,8,128,1.8,800,8,108,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,3.1,16817,1264
